College,SAT,Acceptance Rate,Earnings 6 yrs after entry,Share First Generation,Retention Rate,Student Faculty Ratio,Mean Net Price,Diversity,Students with Loans,Faculty Salary
Saint Peter's University,1070,0.9284,44393,0.4802571166,0.7665,11,11397,0.8106,0.6953068592,8723
Saint Vincent College,1102,0.8211,55264,0.4101838755,0.6877,15,21066,0.6751,0.9326364692,10039
Saint Xavier University,,0.8479,48646,0.493877551,0.7767,16,13326,0.6588000000000002,0.8603286385,7858
Salem College,,,33953,0.4953488372,0.6105,13,10442,0.5536999999999999,0.3381443299,6719
Salem State University,,0.9001,48959,0.4025974026,0.7544,13,17497,0.4146,0.9188652482,9441
Salem University,,0.9001,48959,0.4025974026,0.7544,13,17497,0.4146,0.9188652482,9441
Salisbury University,,0.8646,50417,0.2917236662,0.7974,14,18706,0.2935,0.9023840206,8653
Salus University,,,,0.2222222222,,,,0.0,,8708
Salve Regina University,,0.7343,50726,0.1858500528,0.8342,13,34293,0.1809,0.982706002,8906
Sam Houston State University,1041,0.9658,44142,0.4140865737,0.7254,20,15446,0.5236999999999999,0.8421669488,8061
Samford University,1236,0.8387,46461,0.1380552221,0.8929,12,30716,0.1487,0.910046729,9220
Samuel Merritt University,,,131716,0.3201581028,,7,,0.7533000000000001,,11127
San Diego Christian College,,0.527,34515,0.4083769634,0.6,12,34359,0.6255,0.8508158508,6874
San Diego State University,,0.379,51614,0.4119461928,0.9008,26,6488,0.6563000000000001,0.5983879635,10936
San Francisco Art Institute,,,28857,,,4,,0.5771000000000001,,9284
San Francisco Conservatory of Music,,0.4645,24413,,0.9107,3,33949,0.614,,14965
San Francisco State University,,0.9292,52032,0.4820712432,0.8452,20,12590,0.8432,0.6043392505,10761
San Joaquin College of Law,,,,,,,,0.0,,9933
San José State University,,0.8437,60196,0.4904813496,0.8851,24,13874,0.8695999999999999,0.5950203252,10570
Santa Clara University,1418,0.5398,83996,0.1650589496,0.9435,11,43228,0.5799000000000001,0.8800403226,13444
Santa Fe College,,,,0.7872340426,0.8846,25,6508,0.9652000000000001,,
Sarah Lawrence College,1376,0.5847,32157,0.1078431373,0.8753,11,20104,0.4137,0.9642004773,9769
Savannah College of Art and Design,,0.8078,36709,0.1763042112,0.8119,20,44270,0.4847,0.9240393208,9705
Savannah State University,,,29158,0.3279648609,0.6459,18,10295,0.9705000000000001,0.9214100906,7187
Saybrook University,,,,,,,,0.0,,2475
School of the Art Institute of Chicago,,0.8098,31533,0.212636695,0.8266,10,46067,0.6319,0.94489093,11155
School of Visual Arts,1251,0.7129,33143,0.2553444181,0.8488,8,50183,0.8279,0.9432071269,3942
Schreiner University,1073,0.8378,40679,0.3729903537,0.6431,15,24028,0.46849999999999997,0.9394387001,7290
Scripps College,1456,0.2954,62132,,0.9655,10,39142,0.4601,0.9016393443,11552
Seattle Central College,,,34202,0.4375757576,,18,5952,0.7302,0.2721280603,8883
Seattle Pacific University,1178,0.9195,50511,0.2286995516,0.8187,13,24578,0.576,0.9264828739,8706
Seattle University,1246,0.8212,61038,0.1940298507,0.8509,11,35518,0.631,0.933411215,9842
Seminole State College of Florida,,,33547,0.4066587396,,26,3902,0.5758,0.4621386544,6660
Seton Hall University,1298,0.7661,57189,0.2789620019,0.8343,15,32484,0.49699999999999994,0.8723494487,10342
Seton Hill University,,0.7381,41115,0.242506812,0.8161,14,22885,0.18900000000000003,0.9579617834,7680
Shaw University,,0.6534,25804,0.4005474453,0.5797,15,15543,0.9766,0.9448329448,4753
Shawnee State University,,,31133,0.4326872708,0.7078,16,15477,0.1991,0.854846566,7135
Shenandoah University,,0.7435,45822,0.2771317829,0.7611,11,29380,0.39260000000000006,0.9584086799,8242
Shepherd University,1087,0.9641,40796,0.4086097389,0.6615,14,11109,0.2763,0.835492228,7242
Shippensburg University of Pennsylvania,1075,0.9312,44049,0.3353272343,0.6772,18,22012,0.291,0.9520746221,11150
Shorter University,1072,0.812,40366,0.3538461538,0.6833,15,16638,0.36680000000000007,0.8875855327,4814
Siena College,,0.8283,58586,0.2053896577,0.825,12,31537,0.2432,0.947258848,8886
Siena Heights University,,0.6844,47551,0.4433634468,0.7049,12,21553,0.34950000000000003,0.9233186675,6569
Simmons University,1068,0.9459,42087,0.3147138965,0.6267,15,21916,0.45849999999999996,0.8911392405,7195
Simpson College,,0.6695,44394,0.3757455268,0.5714,13,25093,0.5740000000000001,0.8597122302,6659
Simpson University,,0.6695,44394,0.3757455268,0.5714,13,25093,0.5740000000000001,0.8597122302,6659
SIT Graduate Institute,,,,,,8,,0.0,,6447
Skidmore College,1373,0.3059,51934,0.1483146067,0.9025,8,31730,0.3738,0.8907563025,10211
Slippery Rock University of Pennsylvania,1081,0.795,43036,0.2945736434,0.8177,19,14058,0.15670000000000003,0.9426294821,10080
Smith College,,0.7471,36990,0.2969348659,0.7483,14,24992,0.16549999999999998,0.957952468,5634
Snow College,,,33004,0.3255159475,0.4901,21,8049,0.25229999999999997,0.5264550265,6118
Sofia University,,,,,,11,,0.5,,2627
Soka University of America,1296,0.5241,38688,,0.9412,7,11846,0.8368,0.7311827957,12500
Sonoma State University,,0.9373,51155,0.4147465438,0.8312,20,6230,0.5836,0.7395993837,10494
South Carolina State University,937,0.8759,30764,0.3593109106,0.6868,15,21075,0.9771999999999998,0.9184115523,7391
South College,,,44503,0.4848066298,,24,6853,0.6957999999999999,0.1555097837,8329
South Dakota School of Mines and Technology,1266,0.8048,60005,0.1831357049,0.7036,11,19592,0.16499999999999998,0.9225888325,9844
South Dakota State University,1119,0.8743,46330,0.2019482062,0.7986,17,18402,0.128,0.9520687316,8860
South Georgia State College,,,27541,0.3226332971,0.4286,16,8385,0.40010000000000007,0.6492937165,5753
South Texas College,,,27836,0.6088904204,0.5636,23,1291,0.9736,,6385
South Texas College of Law,,,,,,,,0.0,,17726
South University,,,,,,,,0.0,,9451
Southeast Missouri State University,,0.793,37047,0.3688938798,0.739,20,13321,0.2229,0.8040226921,7642
Southeastern Baptist College,,,,,0.7692,7,13883,0.1312,,4971
Southeastern Louisiana University,,0.9894,36810,0.3990835697,0.6433,18,13269,0.33160000000000006,0.8164594435,7004
Southeastern Oklahoma State University,1042,0.737,37348,0.4446130501,0.5419,21,10426,0.464,0.6332179931,6744
Southeastern University,,0.9894,36810,0.3990835697,0.6433,18,13269,0.33160000000000006,0.8164594435,7004
Southern Adventist University,,0.744,39960,0.1818181818,0.8215,13,23232,0.6001000000000001,0.8919202518,5695
Southern Arkansas University,1094,0.626,34612,0.4209215442,0.6406,15,15873,0.3904,0.7940848214,7043
Southern California Institute of Architecture,1295,0.6486,55717,,0.9259,15,34522,0.8532,,12303
Southern College of Optometry,,,,,,,,0.0,,10962
Southern Connecticut State University,,0.8293,44062,0.390459364,0.7155,12,18231,0.5073,0.8931962025,9606
Southern Illinois University Carbondale,1086,0.9515,41805,0.3525195024,0.7522,10,16316,0.334,0.8677450048,7759
Southern Illinois University Edwardsville,1072,0.9807,43850,0.3068748645,0.7409,15,14331,0.29879999999999995,0.8712611156,8825
Southern Methodist University,1448,0.5313,64596,0.1568247822,0.9058,12,40452,0.3725,0.8755676658,13551
Southern Nazarene University,,,47356,0.3804713805,0.6641,12,19449,0.46930000000000005,0.8975966562,6127
Southern New Hampshire University,,0.9207,38345,0.4825895769,0.6182,24,22873,0.5056,0.9295320359,9040
Southern Oregon University,1103,0.897,38845,0.4037692747,0.6919,20,9931,0.4291,0.8144058885,9106
Southern University and A&M College,943,0.5888,32745,0.3966005666,0.667,20,16991,0.9879999999999999,0.9258566978,5658
Southern University at New Orleans,,0.7929,27088,0.496009122,0.3212,16,14301,0.9814,0.8754716981,6913
Southern University Law Center,,,32745,0.3966005666,0.6691,20,,0.9889,0.9258566978,8525
Southern Utah University,1149,0.8873,39316,0.3208985158,0.7346,23,13095,0.30079999999999996,0.6524714829,7545
Southern Virginia University,1103,0.9951,30960,0.1714285714,0.7854,17,21387,0.2307,0.8731501057,6116
Southern Wesleyan University,1079,0.5661,37938,0.3914956012,0.7222,13,19352,0.3272,0.9209115282,5105
Southwest Baptist University,1101,0.9621,36513,0.3549432739,0.6746,11,17369,0.24819999999999998,0.8308494784,5685
Southwest Minnesota State University,,0.9103,42381,0.2689463956,0.6268,16,13683,0.3046,0.8883415435,9519
Southwestern Adventist University,1031,0.5751,39053,0.3415977961,0.7299,12,17231,0.7676999999999999,0.8880597015,5914
Southwestern Assemblies of God University,1013,0.8541,36135,0.3815028902,0.6746,16,22440,0.4786,0.8852173913,6171
Southwestern Christian University,,,29988,0.403892944,0.6866,11,19626,0.5835,0.8245614035,4881
Southwestern College,,,32273,0.5653573728,0.6972,22,4530,0.9189999999999999,0.0400794965,10162
Southwestern Law School,,,,,,,,0.0,,14963
Southwestern Oklahoma State University,1050,0.9412,40314,0.4062827225,0.6454,19,12238,0.36719999999999997,0.7176079734,7330
Southwestern University,,,,,,,,0.0,,9451
Spalding University,1045,0.8978,40961,0.3500837521,0.5758,10,22977,0.34119999999999995,0.9277108434,6791
Spelman College,,0.5076,44112,0.2070874862,0.9139,11,29102,0.9937,0.9105858171,8757
Spring Arbor University,,0.5994,41250,0.351659751,0.8029,12,20235,0.2542,0.9374389052,5649
Spring Hill College,1019,0.7152,43120,0.2516339869,0.786,11,20891,0.371,0.9266055046,5519
Springfield College,1222,0.769,40712,0.3138871275,0.8458,11,27837,0.2505,0.9608938547,7816
St Andrews University,1180,0.8151,42804,0.1721311475,0.868,10,20805,0.7581,0.8936170213,5057
St John's College,,,32116,0.4292929293,,18,5015,0.34500000000000003,0.3259405941,5270
St Petersburg College,,,33360,0.4442639594,,22,2212,0.4267,0.5388028537,6764
St. Cloud State University,1085,0.9432,45679,0.2676623992,0.6177,16,14300,0.3622,0.8686176837,9937
St. Francis College,1121,0.8525,44646,0.4114285714,0.6908,15,15171,0.7699,0.7502383222,8863
St. John Fisher University,1196,0.711,53809,0.2521994135,0.8702,11,26720,0.17600000000000002,0.9597222222,9282
St. Johns River State College,,,32116,0.4292929293,,18,5015,0.34500000000000003,0.3259405941,5270
St. John's University,,,51172,0.3164556962,,,,0.0,0.864148202,
St. Mary's College of Maryland,1256,0.7733,51280,0.2328244275,0.8541,10,20512,0.30329999999999996,0.9110707804,8062
St. Mary's University,,,31690,0.5372940338,0.5,27,,0.8615,0.9108870832,7928
St. Thomas Aquinas College,1159,0.892,41028,0.3166666667,0.8026,17,17105,0.48810000000000003,0.9026217228,9142
St. Thomas University,,,60491,0.4446609509,,20,,0.5186,0.7371292192,
Stanford University,1528,0.0395,91546,0.3033854167,0.9826,5,7200,0.7203,0.4497607656,21334
State College of Florida-Manatee-Sarasota,,,32958,0.4584276018,,21,11874,0.4402,0.393081761,6620
State University of New York at New Paltz,1243,0.4614,45805,0.3169421488,0.8214,15,16664,0.4139,0.8579992507,7659
State University of New York at Oswego,1182,0.7965,44760,0.2781818182,0.7454,16,14582,0.3311,0.9125412541,7530
Stephen F. Austin State University,1076,0.8313,41398,0.353515625,0.7625,17,15708,0.4212,0.8660996835,7833
Stephens College,1086,0.6366,35879,0.3089622642,0.6267,8,23026,0.3471,0.9440860215,6536
Sterling College,,,35063,0.3808882907,0.6571,17,12234,0.3268,0.7343565525,5312
Stetson University,1207,0.9164,42075,0.2672482157,0.7218,12,19900,0.44989999999999997,0.9122418879,10275
Stevens Institute of Technology,1446,0.5269,88405,0.1549439348,0.9268,12,36674,0.4851,0.9589041096,16016
Stevenson University,,0.9088,50668,0.3069435432,0.7358,15,23428,0.4867,0.9106078665,8392
Stillman College,,0.758,28512,0.4105058366,0.6356,14,17127,0.9402999999999999,0.9480069324,5110
Stockton University,1154,0.8454,47708,0.4040081324,0.7839,17,18724,0.3898,0.9007978723,10295
Stonehill College,,0.72,58488,0.1639004149,0.8943,11,29888,0.19910000000000003,0.978978979,9590
Stony Brook University,1393,0.4806,57129,0.3614088821,0.891,19,16357,0.7108000000000001,0.7814827353,12966
Strayer University,,,31690,0.5372940338,1.0,27,17403,0.2222,0.9108870832,13378
Suffolk University,1188,0.8803,52669,0.2965027876,0.7755,13,27861,0.4996,0.9455053563,11905
Sul Ross State University,941,1.0,34896,0.4626998224,0.5083,11,15192,0.7916000000000001,0.6822995461,7218
Sullivan University,,,30922,0.4940607127,,9,23171,0.4363,0.8310940499,7017
SUNY Brockport,1147,0.7645,43805,0.3152955896,0.6879,15,16720,0.29390000000000005,0.9084144247,7965
SUNY Canton,1078,0.9521,37977,0.3698092031,0.7052,17,11998,0.3281,0.8824691358,7190
SUNY Cobleskill,1064,0.8101,37849,0.3289760349,0.5969,14,16366,0.3123,0.8840952994,6900
SUNY College at Old Westbury,1165,0.7657,47830,0.3938859494,0.7331,15,6352,0.7355999999999999,0.6268801553,9375
SUNY College of Environmental Science and Forestry,,0.6532,49472,0.2042553191,0.7633,11,21248,0.2228,0.8901098901,9259
SUNY College of Optometry,,,,,,,,0.0,,11341
SUNY Cortland,1169,0.605,48562,0.2709096968,0.8028,15,19273,0.2579,0.941414771,7073
SUNY Delhi,,0.8841,38194,0.3786565547,0.6591,14,17112,0.41939999999999994,0.8654028436,6496
SUNY Geneseo,1250,0.7385,48467,0.1863874346,0.8339,16,19345,0.2034,0.9081325301,8169
SUNY Maritime College,1201,0.7405,78342,0.2148288973,0.8209,15,21828,0.33230000000000004,0.9063063063,8112
SUNY Polytechnic Institute,1229,0.7725,56802,0.3052415211,0.7522,13,10309,0.3066,0.8156638013,10020
SUNY Upstate Medical University,,,78717,0.3504273504,,6,,0.29309999999999997,0.9230769231,6894
Susquehanna University,,0.7663,47651,0.2158979392,0.8726,15,26829,0.2126,0.976744186,8361
Swarthmore College,1504,0.0779,51946,0.2687747036,0.9492,8,20780,0.6682,0.5179856115,13211
Sweet Briar College,1175,0.8003,37276,0.232,0.7083,10,19661,0.29919999999999997,0.8723404255,6414
Syracuse University,1328,0.5919,61077,0.1886792453,0.9048,14,32516,0.4554,0.9331375649,12287
Tabor College,,0.5447,45177,0.3139841689,0.7544,16,19888,0.45949999999999996,0.9444444444,5100
Talladega College,,,24006,0.3980582524,0.5965,22,13575,0.9702000000000001,0.7766393443,6315
Tarleton State University,1050,0.5681,44438,0.4210031937,0.6967,21,19151,0.3591000000000001,0.8533559898,7809
Taylor University,,0.7285,43286,0.1456582633,0.8867,12,26401,0.18159999999999998,0.9454297408,7041
Temple University,,0.7233,50130,0.2959157015,0.8619,13,23108,0.4645,0.9404333573,11898
Tennessee State University,1135,0.874,35345,0.3768948094,0.6677,15,13220,0.2359,0.7593809625,7815
Tennessee Tech University,,0.7915,40421,0.3755700326,0.729,18,14795,0.1678,0.737336973,8372
Tennessee Wesleyan University,1064,0.5962,39702,0.4146788991,0.6898,10,14333,0.27349999999999997,0.8398637138,5076
Texas A&M University,,,,,,,,0.0,,9451
Texas A&M University-San Antonio,,,66533,0.3713692946,,5,,0.7523,0.8866171004,10551
Texas A&M University-Texarkana,1053,0.9601,37627,0.4750519751,0.5036,14,14204,0.4842,0.8303821062,8082
Texas Christian University,1291,0.5361,58828,0.2040586246,0.913,14,39155,0.33219999999999994,0.8533190578,12692
Texas College,,,36362,0.4257005378,0.6635,17,6190,0.47669999999999996,0.5860967821,6298
Texas Lutheran University,,0.6293,44580,0.3554216867,0.6537,13,19069,0.5493,0.9209039548,7450
Texas Southern University,919,0.6305,32833,0.3879505924,0.6818,15,18000,0.9914999999999999,0.8160103292,8111
Texas State University,1088,0.6999,46183,0.3582704187,0.7698,22,17033,0.5904,0.8721851543,8635
Texas Tech University,1209,0.6786,50380,0.3237946777,0.851,21,17313,0.4502,0.8611197031,10772
Texas Tech University Health Sciences Center,,,75544,0.4322766571,,7,,0.4598,0.8893178893,9031
Texas Wesleyan University,1012,0.5753,41961,0.4829612221,0.6091,13,20526,0.7495999999999999,0.8409321175,8032
Texas Woman's University,1060,0.957,45995,0.4157868276,0.7156,17,11726,0.6877999999999999,0.8234405353,8754
The Baptist College of Florida,1015,1.0,32776,0.3414634146,0.9167,9,7641,0.2183,0.7043010753,4762
The Catholic University of America,,0.8601,59595,0.1012658228,0.88,11,33452,0.32889999999999997,0.9477124183,9587
The College of Idaho,1181,0.5629,40425,0.2680722892,0.7871,12,23787,0.44110000000000005,0.9141274238,7147
The College of New Jersey,1270,0.6198,60838,0.2052256532,0.9194,13,17138,0.39470000000000005,0.9012123934,11093
The College of Saint Rose,,0.7633,44981,0.2936267071,0.5784,15,23122,0.4691,0.9452529453,7935
The College of Westchester,,0.978,32327,0.5079086116,0.5,18,11502,0.9211999999999999,0.9276393832,6129
The College of Wooster,1336,0.6063,40994,0.1433389545,0.8011,11,22852,0.39080000000000004,0.9573770492,8322
The Cooper Union for the Advancement of Science and Art,,0.1468,39123,0.186440678,0.9128,9,10698,0.6996,0.6020942408,12353
The Evergreen State College,1119,0.9946,33724,0.3009009009,0.6652,14,21048,0.3853,0.8292814695,8267
The Juilliard School,,0.0743,31490,,0.96,4,37344,0.653,0.8865979381,7966
The King's College,1273,0.4382,46896,,0.7632,10,33868,0.3521000000000001,0.9053030303,10088
The King's University,1000,1.0,37371,0.4,0.375,10,20993,0.3791999999999999,0.768907563,7684
The New School,,0.663,44026,0.1944012442,0.8306,10,29648,0.6574,0.9046466602,12262
The Rockefeller University,,,,,,,,0.0,,21415
The School of Architecture,,,,,,,,0.0,,3213
The University of Alabama,1244,0.789,48273,0.2257126887,0.8855,19,21534,0.2324,0.9107411386,10509
The University of Montana,1126,0.8214,34552,0.3023255814,0.7543,15,13799,0.2393,0.8582265237,8380
The University of Tampa,1184,0.5355,46754,0.2523762701,0.829,18,34866,0.34130000000000005,0.9129213483,9381
The University of Tennessee Health Science Center,,,57443,0.2924528302,,6,,0.5607000000000001,0.9333333333,11407
The University of Tennessee Southern,1058,0.9216,34555,0.4102564103,0.5459,13,19613,0.267,0.762541806,5865
The University of Texas at Arlington,1115,0.927,53704,0.4376915601,0.7103,24,15627,0.7216999999999999,0.7766477858,10328
The University of Texas at Austin,1371,0.2875,58194,0.2751759015,0.9643,17,17519,0.6496999999999999,0.8165015828,14166
The University of Texas at Dallas,,0.8721,55455,0.313957935,0.8822,26,17033,0.7364999999999999,0.711050103,13413
The University of Texas at El Paso,,0.9998,37714,0.4063639794,0.6988,20,10798,0.9546,0.5369998944,9192
The University of Texas at San Antonio,1119,0.905,44773,0.388502455,0.7786,26,10489,0.7932,0.7685682534,9858
The University of Texas at Tyler,1136,0.9388,44858,0.3912268188,0.6185,17,11223,0.4782,0.7668831169,9176
The University of Texas Health Science Center at Houston,,,77497,0.4071588367,,5,,0.7503,0.8774319066,11058
The University of Texas Health Science Center at San Antonio,,,66533,0.3713692946,,5,,0.7523,0.8866171004,10551
The University of Texas MD Anderson Cancer Center,,,70767,0.4557823129,,9,,0.7764,0.7298850575,12104
The University of Texas Medical Branch at Galveston,,,78723,0.3766233766,,10,,0.6518,0.9308300395,9155
The University of Texas Permian Basin,1034,0.6469,47754,0.4621125144,0.6674,13,8106,0.5380999999999999,0.7159376571,8181
The University of the Arts,,0.8515,29694,0.2064102564,0.8653,8,25597,0.49310000000000004,0.9746376812,6990
The Wright Institute,,,,,,,,0.0,,9674
Thiel College,1067,0.8804,38967,0.3155555556,0.7108,11,21975,0.2502,0.9621513944,6604
Thomas Aquinas College,1284,0.8314,42621,,0.8852,11,26228,0.3299,,5863
Thomas College,,,60491,0.4446609509,,20,,0.5186,0.7371292192,
Thomas Edison State University,,,60491,0.4446609509,,20,,0.5186,0.7371292192,
Thomas Jefferson School of Law,,,,,,,,0.0,,13319
Thomas Jefferson University,1235,0.7809,58562,0.3297985154,0.8437,13,22018,0.46230000000000004,0.9780952381,9987
Thomas More College of Liberal Arts,,,35137,,0.95,11,15746,0.2584,,5434
Thomas More University,,0.9643,47050,0.368221942,0.6321,13,19025,0.23299999999999998,0.9088811995,6687
Thomas University,971,0.7086,39808,0.4127358491,0.5632,10,27150,0.8988,0.8396039604,9080
Tiffin University,,0.7374,27475,0.384279476,0.6461,19,25722,0.4446,0.9629927595,7083
Toccoa Falls College,1094,0.6189,32637,0.2995689655,0.5663,15,20737,0.24880000000000002,0.8505050505,5451
Tougaloo College,992,0.5581,25452,0.2978208232,0.5957,9,9359,0.9911,0.8354978355,4953
Touro University,,0.7695,41127,0.3827940016,0.8695,10,22550,0.4141,0.4304592005,8671
Touro University California,,,71239,0.3058823529,,,,0.0,,9982
Towson University,1134,0.8792,51306,0.2895995218,0.8466,16,12621,0.5311,0.8560870172,8158
Transylvania University,1250,0.9197,37080,0.1636363636,0.8415,10,24489,0.21030000000000001,0.9419191919,7750
Trevecca Nazarene University,,0.777,41237,0.3916382253,0.7286,17,13848,0.4196000000000001,0.8775981524,7019
Trine University,1159,0.7852,49786,0.3215613383,0.7762,16,25144,0.1623,0.9116360455,7783
Trinity Bible College,,,32402,0.4680851064,,10,,0.659,0.7478991597,2139
Trinity Christian College,1122,0.7624,43572,0.3290909091,0.7697,9,14555,0.42419999999999997,0.925445705,7232
Trinity College,,,54375,0.4105960265,,11,,0.3149,,6381
Trinity College of Florida,984,0.4672,29686,0.4112149533,0.5313,12,17497,0.5629,0.9105691057,4763
Trinity College of Nursing & Health Sciences,,,54375,0.4105960265,,11,,0.3149,,6381
Trinity International University,,,37614,0.2960526316,,3,,0.5875,0.9071146245,5588
Trinity University,,0.9729,40039,0.5321821036,0.7738,11,11693,0.9761000000000001,0.8378063011,7675
Trinity Washington University,,0.9729,40039,0.5321821036,0.7738,11,11693,0.9761000000000001,0.8378063011,7675
Tri-State Bible College,,,,,,3,,0.39139999999999997,,
Trocaire College,,0.4744,45163,0.4330985915,,12,14145,0.46,0.8945720251,6665
Troy University,1082,0.9527,36498,0.3898457122,0.7402,16,14019,0.47030000000000005,0.861413485,7194
Truett McConnell University,1110,0.6882,36078,0.2894736842,0.609,17,19652,0.2661,0.8775055679,4367
Truman State University,1278,0.6099,41820,0.2280927835,0.8434,13,11216,0.21399999999999997,0.8879950495,7097
Tufts University,1506,0.1143,57530,0.1529548088,0.9671,10,35683,0.5218999999999999,0.7461538462,12936
Tulane University,1431,0.0963,47037,0.1800116891,0.9389,8,42217,0.3174,0.9140321686,12223
Tusculum University,1092,0.7703,37043,0.4538011696,0.6097,19,13516,0.5089,0.868869936,5090
Tuskegee University,1080,0.342,38791,0.2306438468,0.7959,9,34926,0.9921,0.944486692,7398
Union College,,0.5773,51796,0.2572463768,0.6095,12,21770,0.7859999999999999,0.9514237856,6281
Union Institute & University,,,55332,0.5607779579,1.0,6,22311,0.6545,0.9376623377,5568
Union University,,,55332,0.5607779579,1.0,6,22311,0.6545,0.9376623377,5568
United States Air Force Academy,1382,0.1243,,,0.9253,8,,0.3602,,10484
United States Coast Guard Academy,1292,0.1928,,,0.9387,7,,0.38510000000000005,,11487
United States Merchant Marine Academy,1252,0.2521,96163,,0.9345,13,6627,0.20690000000000003,0.8613861386,10798
United States Military Academy,1355,0.1066,,,0.958,7,,0.3789,,10525
United States Naval Academy,1324,0.0845,,,0.9763,8,,0.39780000000000004,,12817
United States Sports Academy,,1.0,42514,,,9,,0.5147,0.7323943662,6266
United States University,,1.0,42514,,,9,,0.5147,0.7323943662,6266
Unity College,,0.9142,30590,0.3211009174,0.3668,27,16719,0.2691,,4828
University of Advancing Technology,,0.9118,38443,0.3470319635,0.6111,13,18671,0.5136,0.8559670782,6015
University of Akron,,0.9417,33074,0.5209032652,0.5,12,24165,0.5365,0.9063326199,6155
University of Alabama at Birmingham,1266,0.8854,42911,0.341223671,0.8392,19,16585,0.4703,0.8574622694,11590
University of Alaska Anchorage,,0.6905,39588,0.3891938746,0.6869,12,12531,0.5057,0.6147601476,9370
University of Alaska Fairbanks,1169,0.6469,38536,0.3988326848,0.6793,12,9684,0.47569999999999996,0.643458731,9570
University of Alaska Southeast,,0.5625,36575,0.3951434879,0.6471,9,7368,0.4373,0.6725146199,8436
University of Arkansas,,,38625,0.4987951807,0.6048,12,7903,0.32680000000000003,0.4073305671,4884
University of Arkansas - Fort Smith,,,32783,0.4840221559,0.6656,18,9336,0.39130000000000004,0.6216315984,7009
University of Arkansas at Little Rock,1119,0.5769,37046,0.3910404624,0.6548,11,15868,0.5083,0.8291155753,7772
University of Arkansas at Monticello,,,28333,0.4533974744,0.6911,12,12907,0.4793,0.7459317585,5550
University of Arkansas at Pine Bluff,902,0.6753,28228,0.3677375256,0.6343,14,10542,0.9714,0.7473309609,6008
University of Arkansas for Medical Sciences,,,63466,0.3950276243,,21,,0.3573,0.865,9475
University of Baltimore,1040,0.8943,49152,0.3990024938,0.6774,11,16443,0.7151,0.7988668555,11109
University of Bridgeport,1040,0.7314,41258,0.424291498,0.5516,11,24416,0.7582,0.9316353887,6803
University of Central Arkansas,1133,0.9237,35983,0.3459589224,0.7071,15,14735,0.343,0.8268238762,7271
University of Central Florida,1271,0.3637,45496,0.3526400468,0.9185,30,9217,0.5497000000000001,0.69814608,10981
University of Central Missouri,,0.7578,39832,0.3339464004,0.7128,17,13953,0.2233,0.8713763703,7897
University of Central Oklahoma,1085,0.813,39756,0.3719072667,0.6681,16,17116,0.4798,0.7433989013,7096
University of Charleston,1082,0.5721,38119,0.3071816536,0.6799,13,17368,0.3374,0.8877608573,6109
University of Chicago,1212,0.788,52246,0.4439779965,0.8127,19,11329,0.7534000000000001,0.6221612179,12687
University of Cincinnati,,0.4179,38520,0.5022521408,0.1667,19,26497,0.4079,0.8188157573,8405
University of Colorado Boulder,1292,0.7958,53159,0.2035731847,0.8738,18,21771,0.3204,0.8687343358,12044
University of Colorado Colorado Springs,,,33370,0.5458768873,0.4393,30,17576,0.7162,0.8699259741,7323
University of Colorado Denver,1156,0.7205,51907,0.3794204883,0.748,17,13322,0.5779000000000001,0.7571138211,10909
University of Connecticut,1067,0.7483,49656,0.3874829932,0.7232,14,13434,0.4286,0.8753361036,9790
University of Dallas,,0.8721,55455,0.313957935,0.8822,26,17033,0.7364999999999999,0.711050103,13413
University of Dayton,1240,0.723,65864,0.3554592721,0.8018,18,35156,0.41790000000000005,0.6299855839,10236
University of Delaware,,0.5884,36569,0.3550453817,0.751,16,11626,0.8992999999999999,0.9020065329,8176
University of Denver,1156,0.7205,51907,0.3794204883,0.748,17,13322,0.5779000000000001,0.7571138211,10909
University of Detroit Mercy,1172,0.9324,59357,0.2871198569,0.8271,11,17121,0.4264,0.9047619048,9815
University of Dubuque,,0.7643,43424,0.3612204724,0.6187,10,26800,0.3476,0.9407540395,5974
University of Evansville,1179,0.7495,45138,0.2745901639,0.7772,10,20340,0.2284,0.8998716303,8679
University of Findlay,1130,0.836,47118,0.2931174089,0.8787,13,22625,0.30319999999999997,0.940077821,7391
University of Florida,1280,0.3707,47426,0.2763640404,0.9366,22,9561,0.4211,0.7457222856,11305
University of Georgia,1082,0.8558,41235,0.3452012384,0.539,16,12567,0.4407,0.8461538462,7139
University of Hartford,1185,0.7879,41345,0.2869217082,0.7733,8,29932,0.48300000000000004,0.9553903346,7819
University of Hawaii at Hilo,1040,0.9217,37197,0.3655063291,0.7127,13,13259,0.8008000000000001,0.6710334789,10873
University of Hawaii at Manoa,1175,0.6998,44651,0.3384306844,0.7971,14,13430,0.8043,0.7403047091,12905
University of Hawaii-West Oahu,1028,0.9462,42865,0.4253597122,0.6193,18,12423,0.9068,0.6124401914,10225
University of Health Sciences and Pharmacy in St. Louis,1185,0.9108,122881,0.2242424242,0.8298,7,34371,0.3859,0.9570200573,9416
University of Holy Cross,1000,0.75,43718,0.4898876404,0.6731,10,16353,0.5528,0.9229249012,7604
University of Houston,,,32183,0.5548700548,0.5,12,16149,0.9328,0.8638113856,7194
University of Houston-Clear Lake,1071,0.9119,50983,0.4821073559,0.7376,17,15502,0.6853000000000001,0.6308528428,9556
